Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"DeLong, Noah",SR-4,1:57.26,MidWest Conference Championship,"Feb 25, 2011"
,"DeLong, Noah",SR-4,2:00.41,UNI Dome Open,"Feb 18, 2011"
,"Wilson, Chris",SR-4,2:06.01,MidWest Conference Championship,"Feb 25, 2011"
,"Wilson, Chris",SR-4,2:06.36,UNI Dome Open,"Feb 18, 2011"
,"Tyler, Ben",,2:07.39,Hilltop Invitational,"Feb 5, 2011"
,"Tylinski, Michael",,2:08.50,Darren Young Classic,"Feb 11, 2011"
,"Wilson, Chris",SR-4,2:08.96,Darren Young Classic,"Feb 11, 2011"
,"Tylinski, Michael",,2:09.03,MidWest Conference Championship,"Feb 25, 2011"
,"Tylinski, Michael",,2:10.82,UNI Dome Open,"Feb 18, 2011"
,"Ragan, Eric",,2:11.47,Dubuque Spartan Open,"Feb 19, 2011"
,"Tylinski, Michael",,2:12.71,Hilltop Invitational,"Feb 5, 2011"
,"Ragan, Eric",,2:14.61,Hilltop Invitational,"Feb 5, 2011"
,"Salazar, David",,2:19.55,Darren Young Classic,"Feb 11, 2011"
,"Salazar, David",,2:24.34,Hilltop Invitational,"Feb 5, 2011"
,"Fretheim, Arthur",,2:44.79,Hilltop Invitational,"Feb 5, 2011"
,"Fretheim, Arthur",,2:47.47,Darren Young Classic,"Feb 11, 2011"
