Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"DeLong, Noah",SR-4,4:25.42,MidWest Conference Championship,"Feb 25, 2011"
,"Deshpande, Shyam",SR-4,4:26.01,Hilltop Invitational,"Feb 5, 2011"
,"Deshpande, Shyam",SR-4,4:26.85,MidWest Conference Championship,"Feb 25, 2011"
,"DeLong, Noah",SR-4,4:31.96,Darren Young Classic,"Feb 11, 2011"
,"Tyler, Ben",,4:34.79,UNI Dome Open,"Feb 18, 2011"
,"Krauth, Sam",,4:35.09,UNI Dome Open,"Feb 18, 2011"
,"Tyler, Ben",,4:38.14,Darren Young Classic,"Feb 11, 2011"
,"Krauth, Sam",,4:39.45,Darren Young Classic,"Feb 11, 2011"
,"Tyler, Ben",,4:41.83,MidWest Conference Championship,"Feb 25, 2011"
,"Canady, Frank",,4:42.98,Hilltop Invitational,"Feb 5, 2011"
,"Wilson, Chris",SR-4,4:48.65,Darren Young Classic,"Feb 11, 2011"
,"Seng, John",,5:17.16,Hilltop Invitational,"Feb 5, 2011"
,"Fretheim, Arthur",,5:25.92,Darren Young Classic,"Feb 11, 2011"
