Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miyamoto, Keely",SO-2,11:30.26,Augustana College Midwest Final Qualifier,"May 15, 2024"
,"Miyamoto, Keely",SO-2,11:43.14,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Roth, Hannah",FR-1,11:52.01,Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Roth, Hannah",FR-1,11:52.07,2024 Kip Janvrin Open,"Apr 25, 2024"
,"Roth, Hannah",FR-1,12:01.31,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Miyamoto, Keely",SO-2,12:07.36,Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Barba, Diana",SO-2,12:10.42,Jim Duncan Invitational,"Apr 12, 2024"
,"Barba, Diana",SO-2,12:25.35,Mangrum Invitational,"Mar 22, 2024"
,"Barba, Diana",SO-2,12:26.33,Cornell Invitational,"Apr 6, 2024"
,"Wharton-Hsieh, Emma",FR-1,12:36.18,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Wharton-Hsieh, Emma",FR-1,12:45.62,2024 Kip Janvrin Open,"Apr 25, 2024"
,"Wharton-Hsieh, Emma",FR-1,13:25.52,Grinnell College Dick Young Classic,"Apr 20, 2024"
