Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Young, Shannon",SO-2,5:14.49,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"Smith, Eva",JR-3,5:30.57,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"Smith, Eva",SO-2,5:33.86,2015 Hilltop Invite,"Jan 31, 2015"
,"Teagle, Whitney",FR-1,5:34.88,Wartburg Indoor Invite,"Feb 21, 2015"
,"Smith, Eva",JR-3,5:35.98,Wartburg Indoor Invite,"Feb 21, 2015"
,"Teagle, Whitney",FR-1,5:38.17,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"Luhmann, Emma",,5:38.35,2015 Hilltop Invite,"Jan 31, 2015"
,"Seer, Diana",JR-3,5:38.76,2015 Hilltop Invite,"Jan 31, 2015"
,"Young, Shannon",,5:39.52,2015 Hilltop Invite,"Jan 31, 2015"
,"Pinnette, Ellen",SR-4,5:42.49,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"O'Malley, Bridget",JR-3,5:45.01,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Teagle, Whitney",,5:46.81,2015 Hilltop Invite,"Jan 31, 2015"
,"Williams, Meta",,5:59.65,2015 Hilltop Invite,"Jan 31, 2015"
,"Yndestad, Karin",SO-2,6:01.82,Wartburg Indoor Invite,"Feb 21, 2015"
,"McKechnie, Caryn",FR-1,6:11.65,Wartburg Indoor Invite,"Feb 21, 2015"
,"Cook, Alethea",JR-3,6:31.09,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Rains, Christine",FR-1,6:54.07,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
