0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Arizona Dual,3/22/2012,1,100,+28,
Wartburg Men's Spring Invite,"Apr 13-14, 2012",2,83-82=165,+21,t-73rd/103
BVU Spring Invite,4/20-21/2012,2,84-81=165,+21,t-74th/108
SEASON TOTALS,SEASON TOTALS,5,430 Avg. 86.0,+14,-
