Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Olowu, Paige",FR-1,11.12m,"36' 5.75""",2019 Dick Young Invite,"Apr 20, 2019",-1.4
,"Olowu, Paige",FR-1,11.01m,"36' 1.5""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",0.0
,"Olowu, Paige",FR-1,10.82m,"35' 6""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",1.3
,"Olowu, Paige",FR-1,10.79m,"35' 5""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",1.6
,"Olowu, Paige",FR-1,10.74m,"35' 3""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",1.7
,"Olowu, Paige",FR-1,10.68m,"35' 0.5""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",1.3
,"Olowu, Paige",FR-1,10.64m,"34' 11""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",0.6
,"Olowu, Paige",FR-1,10.47m,"34' 4.25""",Cornell College Invitational,"Apr 6, 2019",0.7
,"Olowu, Paige",FR-1,10.45m,"34' 3.5""",Cornell College Invitational,"Apr 6, 2019",2.0
,"Bresnahan, Cara",SR-4,10.19m,"33' 5.25""",2019 Dick Young Invite,"Apr 20, 2019",-0.9
,"Bresnahan, Cara",SR-4,10.01m,"32' 10.25""",2019 Viking Classic,"Apr 26, 2019",1.0
,"Bresnahan, Cara",SR-4,9.90m,"32' 5.75""",Cornell College Invitational,"Apr 6, 2019",0.9
,"Bresnahan, Cara",SR-4,9.88m,"32' 5""",Emory Classic,"Mar 29, 2019",0.0
,"Bresnahan, Cara",SR-4,9.86m,"32' 4.25""",Emory Classic,"Mar 29, 2019",0.0
,"Bresnahan, Cara",SR-4,9.82m,"32' 2.75""",Cornell College Invitational,"Apr 6, 2019",0.4
,"Bresnahan, Cara",SR-4,9.76m,"32' 0.25""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",-0.3
,"Bresnahan, Cara",SR-4,9.75m,"32' 0""",Cornell College Invitational,"Apr 6, 2019",0.9
,"Bresnahan, Cara",SR-4,9.46m,"31' 0.5""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",1.1
,"Shirley, Orion",FR-1,8.92m,"29' 3.25""",Mustang Open,"Apr 13, 2019",1.0
,"Shirley, Orion",FR-1,8.85m,"29' 0.5""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",1.2
,"Shirley, Orion",FR-1,8.70m,"28' 6.5""",Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",0.2
,"Shirley, Orion",FR-1,8.57m,"28' 1.5""",Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",0.5
