Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Garcia, Sara",FR-1,10.38,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Garcia, Sara",FR-1,10.41,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Staker, Sadie",SO-2,10.44,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Staker, Sadie",SO-2,10.48,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Staker, Sadie",SO-2,10.49,Grinnell Invitational,"Jan 29, 2022"
,"Garcia, Sara",FR-1,10.55,Liz Wuertz Invite,"Feb 19, 2022"
,"Staker, Sadie",SO-2,10.64,Darren Young Invitational,"Feb 12, 2022"
,"Garcia, Sara",FR-1,10.69,Liz Wuertz Invite,"Feb 19, 2022"
,"Staker, Sadie",SO-2,10.72,Hilltop Invitational,"Jan 22, 2022"
,"Staker, Sadie",SO-2,10.74,Grinnell Invitational,"Jan 29, 2022"
,"Garcia, Sara",FR-1,10.75,Darren Young Invitational,"Feb 12, 2022"
,"Staker, Sadie",SO-2,10.76,Liz Wuertz Invite,"Feb 19, 2022"
,"Staker, Sadie",SO-2,10.82,Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Garcia, Sara",FR-1,11.03,Grinnell Invitational,"Jan 29, 2022"
,"Garcia, Sara",FR-1,11.08,Grinnell Invitational,"Jan 29, 2022"
,"Garcia, Sara",FR-1,11.25,Hilltop Invitational,"Jan 22, 2022"
,"Garcia, Sara",FR-1,11.32,Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
