Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Olowu, Paige",FR-1,10.82m,"35' 6""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Olowu, Paige",FR-1,10.41m,"34' 2""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Olowu, Paige",FR-1,10.22m,"33' 6.5""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Olowu, Paige",,10.10m,"33' 1.75""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Olowu, Paige",,10.08m,"33' 1""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Olowu, Paige",FR-1,9.93m,"32' 7""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Olowu, Paige",,9.80m,"32' 2""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Bresnahan, Cara",SR-4,9.77m,"32' 0.75""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Olowu, Paige",,9.77m,"32' 0.75""",2019 Darren Young Indoor Invitational,"Feb 9, 2019",0.0
,"Olowu, Paige",FR-1,9.70m,"31' 10""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Bresnahan, Cara",SR-4,9.63m,"31' 7.25""",2019 Darren Young Indoor Invitational,"Feb 9, 2019",0.0
,"Olowu, Paige",,9.57m,"31' 4.75""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Bresnahan, Cara",SR-4,9.45m,"31' 0""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Bresnahan, Cara",SR-4,9.28m,"30' 5.5""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Olowu, Paige",,9.26m,"30' 4.75""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Bresnahan, Cara",SR-4,8.95m,"29' 4.5""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Bresnahan, Cara",SR-4,8.89m,"29' 2""",Hilltop Invitational,"Jan 19, 2019",0.0
,"Bresnahan, Cara",SR-4,8.79m,"28' 10.25""",Hilltop Invitational,"Jan 19, 2019",0.0
,"Bresnahan, Cara",SR-4,8.67m,"28' 5.5""",Hilltop Invitational,"Jan 19, 2019",0.0
