0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
The Dual at Central,9/14/2015,1,81,+11,t-24th/34
Univ. of Dubuque Men's Invite,9/19-20/2015,2,83-91=174,+34,52nd/63
Augustana Invitational,4/08-09/2016,2,89--2=89,+17,
Pima Community College Dual,3/11/2016,1,87,+16,t-9th/10
Kirkwood Community College,3/28/2016,2,86-91=177,+33,38th/42
Simpson Spring Invitational,4/17-18/2016,2,77-80=157,+15,t-31st/65
Fighting Scot Invitational,4/23-24/2016,2,81-81=162,+20,t-36th/66
MWC Championship,4/28-30/2016,3,85-87-87=259,+43,t-33rd/47
SEASON TOTALS,SEASON TOTALS,14,1186 Avg. 84.7,+14,-
