Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Leonard, Millie",FR-1,10.46m,"34' 4""",Hilltop Invitational,"Jan 20, 2024",NWI
,"Leonard, Millie",FR-1,10.42m,"34' 2.25""",Hilltop Invitational,"Jan 20, 2024",NWI
,"Leonard, Millie",FR-1,10.29m,"33' 9.25""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Leonard, Millie",FR-1,10.26m,"33' 8""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Leonard, Millie",FR-1,10.23m,"33' 6.75""",Darren Young Classic,"Feb 10, 2024",NWI
,"Leonard, Millie",FR-1,10.23m,"33' 6.75""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Leonard, Millie",FR-1,10.15m,"33' 3.75""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Leonard, Millie",FR-1,10.05m,"32' 11.75""",Hilltop Invitational,"Jan 20, 2024",NWI
,"Leonard, Millie",FR-1,9.96m,"32' 8.25""",Darren Young Classic,"Feb 10, 2024",NWI
,"Leonard, Millie",FR-1,9.89m,"32' 5.5""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Leonard, Millie",FR-1,9.81m,"32' 2.25""",Hilltop Invitational,"Jan 20, 2024",NWI
,"Leonard, Millie",FR-1,9.73m,"31' 11.25""",Darren Young Classic,"Feb 10, 2024",NWI
,"Leonard, Millie",FR-1,9.65m,"31' 8""",Darren Young Classic,"Feb 10, 2024",NWI
,"Leonard, Millie",FR-1,9.64m,"31' 7.5""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.81m,"28' 11""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.73m,"28' 7.75""",Darren Young Classic,"Feb 10, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.56m,"28' 1""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.47m,"27' 9.5""",Darren Young Classic,"Feb 10, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.45m,"27' 8.75""",Darren Young Classic,"Feb 10, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.39m,"27' 6.5""",Darren Young Classic,"Feb 10, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.29m,"27' 2.5""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.28m,"27' 2""",Hilltop Invitational,"Jan 20, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.19m,"26' 10.5""",Hilltop Invitational,"Jan 20, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.13m,"26' 8.25""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.03m,"26' 4.25""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,8.03m,"26' 4.25""",Darren Young Classic,"Feb 10, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,7.97m,"26' 1.75""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,7.94m,"26' 0.75""",Hilltop Invitational,"Jan 20, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,7.93m,"26' 0.25""",Darren Young Classic,"Feb 10, 2024",NWI
,"Vollmayr-Lee, Mira",SO-2,7.88m,"25' 10.25""",Hilltop Invitational,"Jan 20, 2024",NWI
