Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Jacobson, Noah",SO-2,58.89,Midwest Conference Outdoor Championships,"May 11, 2018"
,"Jacobson, Noah",SO-2,59.10,Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Geiman, Brad",FR-1,59.97,Cornell Invitational,"Apr 4, 2018"
,"Jacobson, Noah",SO-2,1:00.26,2018 Dick Young Invite,"Apr 21, 2018"
,"Geiman, Brad",FR-1,1:00.27,Emory Classic,"Mar 30, 2018"
,"Geiman, Brad",FR-1,1:00.92,Mustang Open,"Apr 13, 2018"
,"Geiman, Brad",FR-1,1:01.20,2018 Dick Young Invite,"Apr 21, 2018"
,"Jacobson, Noah",SO-2,1:01.46,2018 Kip Janvrin Open,"Apr 26, 2018"
,"Jacobson, Noah",SO-2,1:03.88,Mustang Open,"Apr 13, 2018"
,"Jacobson, Noah",SO-2,1:05.50,Cornell Invitational,"Apr 4, 2018"
,"Midlash, Nicholas",FR-1,1:08.62,Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Bass, Stewart",SR-4,1:09.01,Cornell Invitational,"Apr 4, 2018"
,"Midlash, Nicholas",FR-1,1:09.71,Midwest Conference Outdoor Championships,"May 11, 2018"
