Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Roark, Hannah",FR-1,5:25.81 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Kaczmarczyk, Crystal",SO-2,5:33.51 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Karow, Morgan",FR-1,5:34.74 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Barba, Diana",FR-1,5:42.03 #,Hilltop Invitational,"Jan 21, 2023"
,"Harrison, Talia",FR-1,5:42.63 #,Hilltop Invitational,"Jan 21, 2023"
,"Sheehan-Klenk, Julia",SO-2,5:48.22 #,Darren Young Classic,"Feb 11, 2023"
,"Elliott-Rude, Eleanor",SO-2,5:50.36 #,Hilltop Invitational,"Jan 21, 2023"
,"Rabbani, Allison",SO-2,5:53.85 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Charron, Grace",FR-1,5:57.49 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Mullen, Ginger",SO-2,6:06.49 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Klassen, Kylie",SO-2,6:08.07 #,Darren Young Classic,"Feb 11, 2023"
