Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Oliveira, Casey",FR-1,12.63m,"41' 5.25""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Oliveira, Casey",FR-1,12.54m,"41' 1.75""",Darren Young Classic,"Feb 10, 2024",NWI
,"Dykstra, Murphy",FR-1,12.53m,"41' 1.5""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Oliveira, Casey",FR-1,12.53m,"41' 1.5""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Oliveira, Casey",FR-1,12.51m,"41' 0.5""",Darren Young Classic,"Feb 10, 2024",NWI
,"Dykstra, Murphy",FR-1,12.46m,"40' 10.5""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Oliveira, Casey",FR-1,12.46m,"40' 10.5""",Darren Young Classic,"Feb 10, 2024",NWI
,"Oliveira, Casey",FR-1,12.41m,"40' 8.75""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Dykstra, Murphy",FR-1,12.41m,"40' 8.75""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Oliveira, Casey",FR-1,12.40m,"40' 8.25""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Dykstra, Murphy",FR-1,12.39m,"40' 7.75""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Oliveira, Casey",FR-1,12.18m,"39' 11.5""",Darren Young Classic,"Feb 10, 2024",NWI
,"Dykstra, Murphy",FR-1,12.09m,"39' 8""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Dykstra, Murphy",FR-1,11.92m,"39' 1.25""",Darren Young Classic,"Feb 10, 2024",NWI
,"Dykstra, Murphy",FR-1,11.90m,"39' 0.5""",Grinnell Invitational,"Jan 27, 2024",NWI
,"Oliveira, Casey",FR-1,11.83m,"38' 9.75""",Darren Young Classic,"Feb 10, 2024",NWI
,"Oliveira, Casey",FR-1,11.74m,"38' 6.25""",Darren Young Classic,"Feb 10, 2024",NWI
,"Dykstra, Murphy",FR-1,11.70m,"38' 4.75""",Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Dykstra, Murphy",FR-1,11.64m,"38' 2.25""",Darren Young Classic,"Feb 10, 2024",NWI
