Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Miller, Jesse",FR-1,6.42m,"21' 0.75""",Grinnell Opener Invite,"Dec 6, 2024",NWI
,"Oliveira, Casey",SO-2,6.23m,"20' 5.25""",Dutch Athletic Classic,"Jan 17, 2025",NWI
,"Leonard, Ty",FR-1,6.11m,"20' 0.5""",Grinnell Opener Invite,"Dec 6, 2024",NWI
,"Reed, Jack",SO-2,5.52m,"18' 1.5""",Dutch Athletic Classic,"Jan 17, 2025",NWI
