Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Bresnahan, Cara",FR-1,4.56m,"14' 11.5""",2016 Kip Janvrin Open,"Apr 28, 2016",1.4
,"Bresnahan, Cara",FR-1,4.53m,"14' 10.5""",Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.4
,"Bresnahan, Cara",FR-1,4.47m,"14' 8""",Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.0
,"Bresnahan, Cara",FR-1,4.45m,"14' 7.25""",16 Midwest Conference Championships,"May 13, 2016",-1.0
,"Bresnahan, Cara",FR-1,4.45m,"14' 7.25""",2016 Kip Janvrin Open,"Apr 28, 2016",0.1
,"Bresnahan, Cara",FR-1,4.40m,"14' 5.25""",2016 Kip Janvrin Open,"Apr 28, 2016",1.1
,"Bresnahan, Cara",FR-1,4.35m,"14' 3.25""",16 Midwest Conference Championships,"May 13, 2016",-0.6
,"Bresnahan, Cara",FR-1,4.27m,"14' 0.25""",Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.2
,"Bresnahan, Cara",FR-1,4.12m,"13' 6.25""",16 Midwest Conference Championships,"May 13, 2016",-1.0
,"Menssen, Katie",FR-1,3.97m,"13' 0.25""",16 Midwest Conference Championships,"May 13, 2016",-0.2
,"Menssen, Katie",FR-1,3.84m,"12' 7.25""",2016 Kip Janvrin Open,"Apr 28, 2016",0.0
,"Menssen, Katie",FR-1,3.79m,"12' 5.25""",2016 Kip Janvrin Open,"Apr 28, 2016",0.3
,"Bresnahan, Cara",FR-1,3.78m,"12' 5""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",-1.1
,"Menssen, Katie",FR-1,3.75m,"12' 3.75""",16 Midwest Conference Championships,"May 13, 2016",-0.6
,"Menssen, Katie",FR-1,3.74m,"12' 3.25""",16 Midwest Conference Championships,"May 13, 2016",0.5
,"Menssen, Katie",FR-1,3.71m,"12' 2.25""",2016 Kip Janvrin Open,"Apr 28, 2016",0.3
