""
IMAGE,NAME,YR.,HOMETOWN/HIGH SCHOOL
,Evan Bunis,So.,"Groton, Mass. / Groton-Dunstable Regional"
,JP DeFranco,So.,"Falls Church, Va. / Wakefield"
,Nirabh Koirala,Jr.,"Kathmandu, Nepal / Rato Bangala School"
,Zach McGriff,So.,"Grinnell, Iowa / Grinnell"
