""
IMAGE,NAME,YR.,HOMETOWN/HIGH SCHOOL
,Jon Cohen,Sr.,"Lawrence, Kan. / Lawrence"
,Rockne DeCoster,Jr.,"Canton, Mo. / Canton R-V"
,Max Herzberg,Sr.,"Nevada, Iowa / Nevada"
,Nirabh Koirala,Fr.,"Kathmandu, Nepal / Rato Bangala School"
,Chris Marsho,Sr.,"Grinnell, Iowa / Grinnell"
,Thomas Marsho,Fr.,"Grinnell, Iowa / Grinnell"
,Travis Palmer,Sr.,"Lenox, Mass. / Lenox Senior"
