""
IMAGE,NAME,YR.,HOMETOWN/HIGH SCHOOL
,Colin Byrnes,Fr.,"Rockville, Md. / Georgetown Preparatory"
,Kevin Carpenter,Jr.,"Tyngsboro, Mass. / Tyngsboro"
,Luke McCann,Jr.,"Papillion, Neb. / Papillion-La Vista South"
,John Robinson,Jr.,"Nashville, Tenn. / Martin Luther King Jr. Magnet"
,Eshaan Sethi,Jr.,"New Delhi, India / Shri Ram School"
,Ian Strawn,Sr.,"Salem, Ore. / Sprague"
,Thornton Walker,So.,"St. Louis, Mo. / John Burroughs School"
,David Wu,Fr.,"San Ramon, Calif. / Cranbrook Kingswood School"
