Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Young, Shannon",SR-4,5:15.10,Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Young, Shannon",SR-4,5:22.18,2017 Darren Young Classic,"Feb 11, 2017"
,"Fujiwara, Mikayla",FR-1,5:25.89,2017 Darren Young Classic,"Feb 11, 2017"
,"Arredondo, Nicole",SO-2,5:38.98,2017 Darren Young Classic,"Feb 11, 2017"
,"Ahrens, Anna",SO-2,5:39.18,2017 Darren Young Classic,"Feb 11, 2017"
,"Rix, Jillian",SO-2,5:41.06,Wartburg Indoor Invite,"Feb 18, 2017"
,"Teagle, Whitney",JR-3,5:49.50,2017 Darren Young Classic,"Feb 11, 2017"
,"Yndestad, Karin",JR-3,5:56.77,Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Yndestad, Karin",JR-3,6:02.20,2017 Darren Young Classic,"Feb 11, 2017"
,"Wynde, Sophie",SO-2,6:12.11,Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Burgess, Emily",SO-2,6:15.12,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
,"Breunig, Madeleine",FR-1,6:17.89,2017 Darren Young Classic,"Feb 11, 2017"
,"Yndestad, Karin",JR-3,6:18.91,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
,"Cary, Carson",SO-2,6:23.03,2017 Darren Young Classic,"Feb 11, 2017"
,"Wynde, Sophie",SO-2,6:25.72,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
,"Okamato, Nana",,6:35.33,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
