Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Roark, Hannah",SO-2,2:22.16,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Ong, Caitlin",SO-2,2:27.45,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Barba, Diana",SO-2,2:29.85,Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Charron, Grace",SO-2,2:31.19,Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Rabbani, Allison",JR-3,2:31.76,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Kreeger, Brooke",FR-1,2:35.58,Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Roth, Hannah",FR-1,2:39.28,Grinnell College Dick Young Classic,"Apr 20, 2024"
