0,1,2,3
Grinnell College,314,34,1st
Nina Kouchi,76,6,1st
Danielle Oberlander,77,7,2nd
Parker Perry#,78,8,t-3rd
Lexi Mueldener,80,10,5th
Lauren Chen,81,11,6th
Aubrie Torhorst,85,15,7th
Zoe Robinson#,86,16,8th
