""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Anisha Agarwalla,So.,"Koklata, West Bengal, India / La Martiniere for Girls"
,Julia Echikson,Fr.,"Uccle, Belgium / European School III"
,Samanike Hengst,Jr.,"Madison, Wis. / East"
,Arina Kim,Fr.,"Glenview, Ill. / Glenbrook South"
,Sam Nakahira,So.,"Torrance, Calif. / West"
,Vidushi Sinha,So.,"Gurgaon, Haryana, India / Shri Ram School"
,Vrishali Sinha,So.,"Gurgaon, Haryana, India / Shri Ram School"
,Lauren Yi,Jr.,"Valencia, Calif. / William S. Hart"
