Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Fadden, Lucas",FR-1,50.93 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Mendola, Noah",FR-1,52.74 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Cantor, Micah",JR-3,52.91 #,Grinnell Invitational,"Jan 28, 2023"
,"Fuller, Andrew",JR-3,53.11 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Boev, Ryan",SO-2,53.46 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Hiser, Alexander",SR-4,54.16 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"James, Xavier",SO-2,54.75 #,Darren Young Classic,"Feb 11, 2023"
,"Saldanha, John Michael",FR-1,54.99 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Milenge, Moise",FR-1,55.69 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Shumba, Tino",SO-2,1:08.01 #,Darren Young Classic,"Feb 11, 2023"
