Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Robinson, Luke",FR-1,4:21.19 #,Luther Invitational,"Feb 4, 2023"
,"Heagy, Connor",FR-1,4:22.67 #,Luther Invitational,"Feb 4, 2023"
,"Nickeson, Andrew",SR-4,4:24.85 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Miller, John",FR-1,4:34.14 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Ramsey, Bradley",JR-3,4:36.31 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Chestovich, Andy",FR-1,4:37.15 #,Hilltop Invitational,"Jan 21, 2023"
,"Krysan, Mark",SO-2,4:44.45 #,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Cantor, Micah",JR-3,4:47.00 #,Hilltop Invitational,"Jan 21, 2023"
,"Snyder, James",FR-1,4:49.93 #,Darren Young Classic,"Feb 11, 2023"
,"Welch-Groves, Cameron",FR-1,4:54.11 #,Darren Young Classic,"Feb 11, 2023"
,"Williams, Carter",SO-2,4:57.09 #,Hilltop Invitational,"Jan 21, 2023"
,"Ching, Tyler",FR-1,4:57.73 #,Darren Young Classic,"Feb 11, 2023"
,"Boev, Ryan",SO-2,5:03.19 #,Hilltop Invitational,"Jan 21, 2023"
,"Short, Ben",JR-3,5:26.84 #,Hilltop Invitational,"Jan 21, 2023"
