""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Caroline Bailey,,-,Fr.,/
,Caroline Beach,,-,Fr.,/
,Tamrah Collins,,-,Sr.,/
,Molly Corrow,,-,So.,/
,Mur. Gallo-Chasanoff,,-,Fr.,/
,Marcela Gomez,,-,Sr.,/
,Caitlin Helterline,,-,Fr.,/
,Jessica Hodgman,,-,Sr.,/
,Candyce Jones,,-,Fr.,/
,Sandra King,,-,Jr.,/
,Ca. Lindsey-Larrabe,,-,Fr.,/
,Neo Morake,,-,So.,/
,Courtney Smith,,-,So.,/
