Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Burnell, Sarah",,4:43.90,Midwest Conference Championship,"May 13, 2011"
,"Russell, Leah",SR-4,4:52.91,Midwest Conference Championship,"May 13, 2011"
,"Burnell, Sarah",,4:53.69,Kip Janvrin Open,"Apr 28, 2011"
,"Burnell, Sarah",,4:55.81,Dick Young Classic,"Apr 23, 2011"
,"Rouse, Stephanie",,4:58.75,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Russell, Leah",SR-4,4:58.90,Kip Janvrin Open,"Apr 28, 2011"
,"Rouse, Stephanie",,5:00.60,Cornell Invitational,"Apr 9, 2011"
,"Russell, Leah",SR-4,5:04.89,Dick Young Classic,"Apr 23, 2011"
,"Rouse, Stephanie",,5:07.70,Midwest Conference Championship,"May 13, 2011"
,"Gartner, Elana",,5:21.39,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Rudy, Meg",,5:23.99,Dick Young Classic,"Apr 23, 2011"
,"Gartner, Elana",,5:28.30,Cornell Invitational,"Apr 9, 2011"
