Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Rouse, Stephanie",,18:57.21,Kip Janvrin Open,"Apr 28, 2011"
,"Rouse, Stephanie",,18:58.93,Midwest Conference Championship,"May 13, 2011"
,"Gamble, Maja",SR,19:26.95,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Gamble, Maja",SR,19:32.21,Midwest Conference Championship,"May 13, 2011"
,"White, Cassidy",,19:40.95,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"White, Cassidy",,19:41.61,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Gamble, Maja",SR,19:42.75,Kip Janvrin Open,"Apr 28, 2011"
,"White, Cassidy",,19:56.07,Midwest Conference Championship,"May 13, 2011"
,"White, Cassidy",,20:03.95,Dick Young Classic,"Apr 23, 2011"
,"Melzer, Lilah",SR-4,20:15.99,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Vautin, Jacqueline",,20:35.48,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Vautin, Jacqueline",,20:40.50,Cornell Invitational,"Apr 9, 2011"
,"Vautin, Jacqueline",,20:41.93,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Melzer, Lilah",SR-4,20:44.66,Cornell Invitational,"Apr 9, 2011"
,"Vautin, Jacqueline",,20:52.71,Kip Janvrin Open,"Apr 28, 2011"
,"Nelsen, Carmen",,22:24.23,Dick Young Classic,"Apr 23, 2011"
,"Emery, Lauren",,23:08.26,Cornell Invitational,"Apr 9, 2011"
