Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miller, Isabelle",,1:05.28,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Miller, Isabelle",,1:05.47,Midwest Conference Championship,"May 13, 2011"
,"Miller, Isabelle",,1:05.92,Kip Janvrin Open,"Apr 28, 2011"
,"Miller, Isabelle",,1:05.94,Midwest Conference Championship,"May 13, 2011"
,"Miller, Isabelle",,1:06.09,Dick Young Classic,"Apr 23, 2011"
,"Miller, Isabelle",,1:06.47,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Miller, Isabelle",,1:06.82,Cornell Invitational,"Apr 9, 2011"
,"Olsen, Maia",,1:16.39,Midwest Conference Championship,"May 13, 2011"
,"Olsen, Maia",,1:17.44,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Olsen, Maia",,1:18.31,Monmouth Scots Invite,"May 7, 2011"
,"Olsen, Maia",,1:19.37,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Olsen, Maia",,1:19.55,Dick Young Classic,"Apr 23, 2011"
