Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Rouse, Stephanie",SR-4,5:24.19,ACM Invitational,"Feb 2, 2013"
,"Rouse, Stephanie",SR-4,5:32.33,Midwest Conference Indoor Championships,"Feb 22, 2013"
,"Seer, Diana",SO-2,5:32.43,Wartburg Invite,"Feb 16, 2013"
,"Smith, Eva",FR-1,5:33.43,Wartburg Invite,"Feb 16, 2013"
,"Androski, Antonia",FR-1,5:33.83,Wartburg Invite,"Feb 16, 2013"
,"Smith, Eva",FR-1,5:35.92,Midwest Conference Indoor Championships,"Feb 22, 2013"
,"Smith, Eva",FR-1,5:36.20,Darren Young Invitational,"Feb 9, 2013"
,"McNealy, Jesse",FR-1,5:37.79,Wartburg Invite,"Feb 16, 2013"
,"Campbell, Paulina",FR-1,5:40.39,Midwest Conference Indoor Championships,"Feb 22, 2013"
,"Campbell, Paulina",FR-1,5:40.69,Wartburg Invite,"Feb 16, 2013"
,"Smith, Eva",FR-1,5:43.22,ACM Invitational,"Feb 2, 2013"
,"McNealy, Jesse",FR-1,5:46.92,ACM Invitational,"Feb 2, 2013"
,"Campbell, Paulina",FR-1,5:48.62,ACM Invitational,"Feb 2, 2013"
,"Roberts, Clare",FR-1,5:59.47,Darren Young Invitational,"Feb 9, 2013"
,"Kubica, Samantha",FR-1,6:04.03,ACM Invitational,"Feb 2, 2013"
,"Roberts, Clare",FR-1,6:05.97,ACM Invitational,"Feb 2, 2013"
,"Miller, Cassandra",FR-1,6:13.11,Darren Young Invitational,"Feb 9, 2013"
,"Bullock, Aden",FR-1,6:24.29,Darren Young Invitational,"Feb 9, 2013"
,"Cook, Alethea",FR-1,6:33.52,ACM Invitational,"Feb 2, 2013"
,"Cook, Alethea",FR-1,6:35.87,Darren Young Invitational,"Feb 9, 2013"
,"Neems, Sophie",FR-1,6:54.81,ACM Invitational,"Feb 2, 2013"
,"Boydston, Emily",SR-4,6:59.86,ACM Invitational,"Feb 2, 2013"
