Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Nickeson, Andrew",SO-2,4:11.77,Midwest Conference Outdoor Championships (South Division),"May 14, 2021"
,"Ramsey, Bradley",FR-1,4:23.30,2021 Prairie Fire Invitational,"Apr 24, 2021"
,"Goodell, Brian",FR-1,4:25.60,2021 Prairie Fire Invitational,"Apr 24, 2021"
,"Short, Ben",FR-1,5:03.84,Midwest Conference Outdoor Championships (South Division),"May 14, 2021"
,"Israni, Neil",JR-3,5:36.45,IC True Blue Invitational,"May 1, 2021"
,"Markegard, Carter",SR-4,5:40.31,Midwest Conference Outdoor Championships (South Division),"May 14, 2021"
