Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Soderberg, Midori",SO-2,1:10.80,The Midwest Conference Outdoor T&F Championships,"May 10, 2019"
,"Eure, Maria",FR-1,1:11.29,The Midwest Conference Outdoor T&F Championships,"May 10, 2019"
,"Soderberg, Midori",SO-2,1:11.50,Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019"
,"Eure, Maria",FR-1,1:11.72,The Midwest Conference Outdoor T&F Championships,"May 10, 2019"
,"Eure, Maria",FR-1,1:11.96,Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019"
,"Eure, Maria",FR-1,1:12.11,2019 Viking Classic,"Apr 26, 2019"
,"Eure, Maria",FR-1,1:12.51,2019 Dick Young Invite,"Apr 20, 2019"
,"Soderberg, Midori",SO-2,1:12.62,Cornell College Invitational,"Apr 6, 2019"
,"Eure, Maria",FR-1,1:12.77,Cornell College Invitational,"Apr 6, 2019"
,"Soderberg, Midori",SO-2,1:12.91,The Midwest Conference Outdoor T&F Championships,"May 10, 2019"
,"Holtzman, Gwen",SR-4,1:13.04,Emory Classic,"Mar 29, 2019"
,"Eure, Maria",FR-1,1:13.69,Mustang Open,"Apr 13, 2019"
,"Holtzman, Gwen",SR-4,1:13.73,Cornell College Invitational,"Apr 6, 2019"
,"Soderberg, Midori",SO-2,1:14.46,Mustang Open,"Apr 13, 2019"
,"Tesar, Tali",FR-1,1:14.58,Emory Classic,"Mar 29, 2019"
,"Eure, Maria",FR-1,1:14.61,Emory Classic,"Mar 29, 2019"
,"Tesar, Tali",FR-1,1:15.68,Cornell College Invitational,"Apr 6, 2019"
,"Tesar, Tali",FR-1,1:16.28,2019 Dick Young Invite,"Apr 20, 2019"
,"Tomczik, Kate",FR-1,1:17.20,Mustang Open,"Apr 13, 2019"
,"Tesar, Tali",FR-1,1:19.21,Mustang Open,"Apr 13, 2019"
