Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kolacia, Nate",SR-4,1:53.30,Florida Relays,"Mar 31, 2016"
,"Kolacia, Nate",SR-4,1:53.31,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Kolacia, Nate",SR-4,1:53.45,16 Midwest Conference Championships,"May 13, 2016"
,"Kolacia, Nate",SR-4,1:54.23,Musco Twilight,"Apr 23, 2016"
,"Kolacia, Nate",SR-4,1:54.30,NCC Gregory Final Qualifier Track & Field Meet - 2016,"May 18, 2016"
,"Kolacia, Nate",SR-4,1:55.62,2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Crail, Nathaniel",FR-1,1:59.63,Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Anderson, Kevin",JR-3,1:59.75,16 Midwest Conference Championships,"May 13, 2016"
,"Anderson, Kevin",JR-3,1:59.80,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Anderson, Kevin",JR-3,2:00.17,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Crail, Nathaniel",FR-1,2:00.18,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Crail, Nathaniel",FR-1,2:00.50,2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Crail, Nathaniel",FR-1,2:00.81,16 Midwest Conference Championships,"May 13, 2016"
,"O'Reilly, Sean",SO-2,2:01.94,Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Anderson, Kevin",JR-3,2:02.01,2016 Jim Duncan Invitational,"Apr 15, 2016"
,"O'Reilly, Sean",SO-2,2:02.24,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"O'Reilly, Sean",SO-2,2:02.86,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Dalton, Adam",SR-4,2:03.47,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Anderson, Kevin",JR-3,2:03.54,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Baumann, Joel",JR-3,2:03.55,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Lennon, John",SO-2,2:05.91,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Anderson, Kevin",JR-3,2:06.63,Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"O'Reilly, Sean",SO-2,2:07.12,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Baumann, Joel",JR-3,2:07.27,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Anderson, Kevin",JR-3,2:07.46,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Crail, Nathaniel",FR-1,2:08.07,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Gregorich-Trevor, Connor",JR-3,2:09.10,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Murphy, Matthew",JR-3,2:10.47,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Hansen, Pieter",SO-2,2:10.49,2016 Kip Janvrin Open,"Apr 28, 2016"
,"O'Reilly, Sean",SO-2,2:11.93,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Brunet, Chris",FR-1,2:12.82,Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Murphy, Matthew",JR-3,2:13.93,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Murphy, Matthew",JR-3,2:14.01,Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Brunet, Chris",FR-1,2:16.70,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Margida, Greg",SR-4,2:19.65,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Brunet, Chris",FR-1,2:22.11,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Margida, Greg",SR-4,2:23.00,Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Cernek, Stephan",SO-2,2:23.33,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Cernek, Stephan",SO-2,2:24.64,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Margida, Greg",SR-4,2:26.31,2016 Cornell Outdoor Invite,"Apr 9, 2016"
