Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kubica, Samantha",FR-1,2:35.01,Midwest Conference Indoor Championships,"Feb 22, 2013"
,"Pinnette, Ellen",SO-2,2:38.53,Wartburg Invite,"Feb 16, 2013"
,"Pinnette, Ellen",SO-2,2:40.13,Darren Young Invitational,"Feb 9, 2013"
,"Roberts, Clare",FR-1,2:40.92,Midwest Conference Indoor Championships,"Feb 22, 2013"
,"Roberts, Clare",FR-1,2:41.36,Wartburg Invite,"Feb 16, 2013"
,"Pinnette, Ellen",SO-2,2:44.09,ACM Invitational,"Feb 2, 2013"
,"Miller, Cassandra",FR-1,2:47.10,Midwest Conference Indoor Championships,"Feb 22, 2013"
,"Roberts, Clare",FR-1,2:47.75,ACM Invitational,"Feb 2, 2013"
,"Kubica, Samantha",FR-1,2:47.89,ACM Invitational,"Feb 2, 2013"
,"Miller, Cassandra",FR-1,2:49.25,ACM Invitational,"Feb 2, 2013"
,"Brosius, Daria",SO-2,2:52.80,Darren Young Invitational,"Feb 9, 2013"
,"Haro, Gina",SO-2,2:56.44,ACM Invitational,"Feb 2, 2013"
,"Boydston, Emily",SR-4,2:59.50,Darren Young Invitational,"Feb 9, 2013"
,"Cook, Alethea",FR-1,2:59.65,ACM Invitational,"Feb 2, 2013"
,"Haro, Gina",SO-2,2:59.94,Darren Young Invitational,"Feb 9, 2013"
,"Neems, Sophie",FR-1,3:06.97,ACM Invitational,"Feb 2, 2013"
