Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Bresnahan, Cara",FR-1,9.78m,"32' 1""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",0.0
,"Bresnahan, Cara",FR-1,9.76m,"32' 0.25""",Grinnell College Dick Young Classic,"Apr 23, 2016",1.9
,"Bresnahan, Cara",FR-1,9.46m,"31' 0.5""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",-0.4
,"Bresnahan, Cara",FR-1,9.44m,"30' 11.75""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",0.0
,"Bresnahan, Cara",FR-1,9.41m,"30' 10.5""",2016 Kip Janvrin Open,"Apr 28, 2016",0.1
,"Bresnahan, Cara",FR-1,9.41m,"30' 10.5""",Grinnell College Dick Young Classic,"Apr 23, 2016",1.7
,"Bresnahan, Cara",FR-1,9.20m,"30' 2.25""",Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.0
,"Bresnahan, Cara",FR-1,9.13m,"29' 11.5""",16 Midwest Conference Championships,"May 13, 2016",-0.5
,"Bresnahan, Cara",FR-1,9.04m,"29' 8""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",0.0
,"Bresnahan, Cara",FR-1,8.97m,"29' 5.25""",16 Midwest Conference Championships,"May 13, 2016",1.0
,"Menssen, Katie",FR-1,8.93m,"29' 3.75""",16 Midwest Conference Championships,"May 13, 2016",2.0
,"Menssen, Katie",FR-1,8.89m,"29' 2""",Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.7
,"Menssen, Katie",FR-1,8.88m,"29' 1.75""",Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.0
,"Menssen, Katie",FR-1,8.87m,"29' 1.25""",16 Midwest Conference Championships,"May 13, 2016",-1.5
,"Bresnahan, Cara",FR-1,8.84m,"29' 0""",2016 Kip Janvrin Open,"Apr 28, 2016",0.0
,"Bresnahan, Cara",FR-1,8.81m,"28' 11""",Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.0
,"Menssen, Katie",FR-1,8.68m,"28' 5.75""",16 Midwest Conference Championships,"May 13, 2016",-0.5
,"Menssen, Katie",FR-1,8.64m,"28' 4.25""",2016 Kip Janvrin Open,"Apr 28, 2016",0.5
,"Menssen, Katie",FR-1,8.56m,"28' 1""",2016 Kip Janvrin Open,"Apr 28, 2016",0.0
