""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,5,Cristal Coleman,,G,5-8,So.,"Chicago, Ill. / Martin Luther King Prep"
,10,Tolu Alabi,*,G,5-9,Sr.,"Garki, Abuja, Nigeria / Model Secondary School"
,11,Isabelle Miller,,G/F,5-9,Sr.,"Portland, Ore. / The Catlin Gabel School"
,12,Alex Plemmons,,F,5-11,So.,"Grosse Ile, Mich. / Gross Ile"
,13,Alissa Hirsh,,G,5-4,Fr.,"Skokie, Ill. / Niles North"
,14,Jordan Matosky,,G,5-6,Fr.,"Lafayette, Colo.. / Centaurus"
,15,Michelle Briggs,,C,6-3,Sr.,"Salinas, Calif. / Santa Catalina"
,20,Abby Jaeger,,G,5-4,Jr.,"Omaha, Neb. / Westside"
,21,Kelly Clarke,*,G,5-7,Sr.,"Eureka Springs, Ark. / Eureka Springs"
,23,Rebecca DeGroot,,G,5-10,Jr.,/
,24,Anne Boldt,,G,5-7,Fr.,"Stillwater, Minn. / Stillwater Area"
,34,Elizabeth Burnett,,C,6-1,Sr.,"West Des Moines, Iowa / Valley"
,44,Jordan Schellinger,,F,5-11,So.,"Avon, Minn. / St. Johns Prep"
,,Karen Gogins,,,-,Fr.,"Roseville, Minn. / Roseville Area"
,Mgr,Shelby Carroll,,,-,Sr.,/
,Mgr,Jacqui Vautin,,,-,Sr.,/
,Mgr.,Gweena Ihrie,,,-,So.,/
