""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,5,Eleanor Cordes,,G,5-4,Fr.,"St. Paul, Minn. / Central"
,10,Nikki Ware,,G,5-5,So.,"Long Grove, Ill. / Adlai E. Stevenson"
,11,Eva Carchidi,,G,5-8,Jr.,"Portsmouth, N.H. / Phillips Exeter Academy"
,13,Grace Marsh,,G,5-8,So.,"Salt Lake City, Utah / Skyline"
,14,Erin Lillis,,G,5-8,Jr.,"Bloomington, Ind. / North"
,15,P.K. Hall,,F,5-10,So.,"Alamo, Calif. / Miramonte"
,20,Aiyana Rockwell,,G,5-7,Jr.,"Louisville, Colo. / Peak to Peak Charter School"
,22,Skylar Thomas,,F,5-9,Fr.,"Fairfax, Va. / Lake Braddock"
,25,Annabel Dougherty,,F,5-9,So.,"La Grange, Ill. / Lyons Township North"
,32,Kelsey Ericksen,,G,5-7,Fr.,"Waddell, Ariz. / Shadow Ridge"
,33,Elena Friedman,,G,5-9,Jr.,"Truckee, Calif. / Forest Charter School"
,34,Sara Booher,,C,6-3,So.,"Menomonee Falls, Wis. / Menomonee Falls"
,35,Sarah Toay,,F,6-0,Sr.,"Mineral Point, Wis. / Mount Horeb"
