""
IMAGE,NO.,NAME,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Nate George,DB,5-10,157,So.,"Knoxville, Tenn. / West"
,2,Richard Renteria,LB,6-0,242,So.,"Pittsburg, Calif. / Pittsburg North"
,3,Brendan Ramirez,DB,5-10,161,Fr.,"Batavia, Ill. / Geneva"
,4,Harnak Mann,WR,6-1,167,Jr.,"Stockton, Calif. / Folsom"
,5,Cody Weber,WR,6-0,195,Sr.,"Pullman, Wash. / Pullman"
,6,Jacob Washington,WR,5-10,153,So.,"New Orleans, La. / Saint Augustine"
,7,Sam Poulos,QB,5-10,166,Fr.,"Glen Ellyn, Ill. / Nazareth"
,8,Max Jacobson,WR,6-7,221,Jr.,"Wrightwood, Calif. / Serrano"
,9,Brian Taylor,DL,6-2,243,Sr.,"Andover, Kan. / Independent"
,11,Aamir Walton,WR,5-9,175,Fr.,"Chicago, Ill. / St. Rita"
,12,Graham Fisher,K/P,6-4,233,Fr.,"Palo Alto, Calif. / Gunn Senior High"
,14,Jacob Meixler,WR/QB,6-2,183,So.,"Pinetop, Ariz. / Blue Ridge"
,17,Braeden Horton,WR/QB,6-0,165,Fr.,"Hotchkiss, Colo. / Hotchkiss"
,18,Seth Howard,LB,5-10,210,Jr.,"Elgin, Iowa / Valley"
,20,Max Keller,DB,5-9,183,Jr.,"Alden, Minn. / Alden Conger Freeborn"
,21,Kevin Hwang,DB,5-10,198,Jr.,"Park Ridge, N.J. / Park Ridge"
,22,Jacob Beecher,DB,5-10,189,Fr.,"Medicine Lodge, Kan. / Medicine Lodge"
,24,Daniel Reynolds,RB,5-7,185,So.,"Highland Park, Ill. / Highland Park"
,25,Seth Gustafson,DB,5-9,180,Jr.,"Rockford, Ill. / Winnebago"
,26,John Mertes,LB,6-1,207,So.,"Edina, Minn. / Edina"
,27,Daniel Ryerson,RB,5-10,223,So.,"Aspen, Colo. / Aspen"
,28,TJ Schaid,RB,5-9,187,Sr.,"Walworth, Wis. / Big Foot"
,32,Andrew Clark,DB,5-9,180,Jr.,"Homestead, Fla. / Byron"
,33,Barrett Morrissette,RB,6-0,210,Fr.,"Chicago, Ill. / Whitney M. Young Magnet"
,34,Clayton Desjardin,LB,6-2,227,So.,"Centennial, Colo. / Kent Denver"
,42,Daniel Munger,LB,5-6,201,So.,"Carbondale, Colo. / Aspen"
,44,Drew Blumberg,DB,6-1,191,Sr.,"Bishop, Calif. / Bishop Union"
,45,Colton Feller,LB,6-0,240,Jr.,"Maquoketa, Iowa / Maquoketa"
,49,Edward Hardman,DB,6-0,172,Fr.,"Chicago, Ill. / Latin School"
,50,Brogan McWilliams,OL,6-2,227,Fr.,"Clinton, Mo. / Clinton"
,51,Roland Roger,OL,5-7,238,So.,"St. Paul, Minn. / John Johnson"
,52,David Ternes,LB,6-0,221,So.,"Oakley, Calif. / Freedom"
,54,Jeremy Wiles,LB,5-11,230,Jr.,"Pittsburg, Calif. / Pittsburg North"
,55,Cedric Abdul-Hakeem,OL,5-10,219,So.,"Chicago, Ill. / Urban Prep Charter Academy"
,57,Issac Chadri,OL,5-11,295,So.,"Oak Park, Ill. / Oak Park River Forest"
,59,Jordan Manker,OL,6-2,240,So.,"Altadena, Calif. / Flintridge Prepatory"
,60,Ki Harris,DL,6-0,226,Jr.,"Evergreen Park, Ill. / Evergreen"
,62,Morgan Kinsinger,OL,6-4,268,Jr.,"Orange City, Iowa / MOC-Floyd Valley"
,63,Edward Guen-Murray,DL,5-11,232,So.,"Oak Park, Ill. / Oak Park River Forest"
,65,Hart Russell,OL,6-0,225,Jr.,"Cardiff by the Sea, Calif. / La Costa Canyon"
,66,Tom Brinkman,DL,5-9,259,Sr.,"Rolfe, Iowa / Pocahontas Area"
,70,Quinn Rosenthal,OL,6-3,270,Jr.,"Wheaton, Ill. / Wheaton Warrenville South"
,71,Pierce Gustafson,OL,6-1,274,So.,"Boone, Iowa / Boone"
,80,Jayson Campos,WR,6-1,180,Jr.,"Chino, Calif. / Don Lugo"
,81,Henry Cummings,WR,6-2,173,Fr.,"Brooklyn, N.Y. / The Beacon School"
,88,Dalton Davies,TE,6-3,193,Fr.,"Beloit, Wis. / Beloit Memorial"
,,Eli Freese,,-,,So.,"Farmington, N.M. / New Mexico JC"
,Mgr.,Lorejune Fernandez,,-,,,/
,Mgr.,Alysia Horcher,,-,,,/
,Mgr.,Bruce Kriegel,,-,,,/
