""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Scott Adams,,-,,/
,Steve Bolesta,,-,,/
,Rett Britt,,-,,/
,Al Camp,,-,,/
,Charlie Gogel,,-,,/
,Scott Goldstein,,-,,/
,Tom Hawbaker,,-,,/
,Mike Kearney,,-,,/
,Kurt Kohlmann,,-,,/
,Fred McDougal,,-,,/
,Char. McKinnon,,-,,/
,Derek Muehrcke,,-,,/
,Joe Nixon,,-,,/
,Kevin Oakes,,-,,/
,Ken O'Barski,,-,,/
,Harvey Pegues,,-,,/
,Don Petrich,,-,,/
,Bruce Pivar,,-,,/
,Scott Ross,,-,,/
,Cornell Rudov,,-,,/
,Joel Sears,,-,,/
,Al See,,-,,/
,Dave Smiley,,-,,/
