""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Ed Maschmeier,,-,,/
,Russ Adams,,-,,/
,Ray Backman,,-,,/
,Dave Beavers,,-,,/
,Charles Blomqui,,-,,/
,Arnie Bryson,,-,,/
,Rob Click,,-,,/
,Chris Coles,,-,,/
,Joe Cunningham,,-,,/
,Casey Curtis,,-,,/
,David Dorsey,,-,,/
,John Egan,,-,,/
,Mike Ferguson,,-,,/
,Chris Geisert,,-,,/
,Ch. Gottdiener,,-,,/
,Tim Grabinski,,-,,/
,Russ Grimm,,-,,/
,Mike Grossman,,-,,/
,Rob Guthrie,,-,,/
,Andy Hamilton,,-,,/
,Tom Hanseter,,-,,/
,Erik Hanson,,-,,/
,Fred Hopkins,,-,,/
,Dave Jones,,-,,/
,Chris Knoepfle,,-,,/
,Dave Knoepfle,,-,,/
,Darin Kobatke,,-,,/
,Rob Lough,,-,,/
,Mick MacLean,,-,,/
,Tom Marraci,,-,,/
,Mark Martin,,-,,/
,Bill Maschmeier,,-,,/
,Paul McCready,,-,,/
,Tom Monague,,-,,/
,Mickey Munley,,-,,/
,Kevin Murphy,,-,,/
,Bob Murray,,-,,/
,Pat O'Reilly,,-,,/
,Robert Quashie,,-,,/
,Jim Sadler,,-,,/
,Jeff Skelton,,-,,/
,Steve Smith,,-,,/
,Steve Sprenger,,-,,/
,Scott Stauffer,,-,,/
,Scott Suter,,-,,/
,Craig Taylor,,-,,/
,Carmen Trotta,,-,,/
,Greg Westrand,,-,,/
,Steve Worth,,-,,/
