""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Russ Adams,,-,,/
,Troy Barboza,,-,,/
,Robert Caldwell,,-,,/
,David Dorsey,,-,,/
,John Egan,,-,,/
,Andy Hamilton,,-,,/
,Erik Hanson,,-,,/
,John Jackson,,-,,/
,Paul Knight,,-,,/
,Mike McCrary,,-,,/
,Paul McCready,,-,,/
,David McDonald,,-,,/
,Greg Moore,,-,,/
,Kevin Murphy,,-,,/
,Pat O'Reilly,,-,,/
,Scott Preston,,-,,/
,Craig Rasile,,-,,/
,Gene Reid,,-,,/
,Steve Sprenger,,-,,/
,Scott Stauffer,,-,,/
,Scott Suter,,-,,/
,Carmen Trotta,,-,,/
,Joe Walsh,,-,,/
,Bill Wear,,-,,/
,Steve Worth,,-,,/
