""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Mark Blanchard,,-,,/
,Mark Bowman,,-,,/
,Jim Casey,,-,,/
,Dave Chroust,,-,,/
,Paul Crane,,-,,/
,Doug Cummings,,-,,/
,Mike Darragh,,-,,/
,Paul Delaney,,-,,/
,Bob Donelan,,-,,/
,Hosea Engram,,-,,/
,Tom Goetz,,-,,/
,Bob Grant,,-,,/
,John Hamby,,-,,/
,Mike Harris,,-,,/
,Mike Hopkins,,-,,/
,Greg Lee,,-,,/
,Paul Matecki,,-,,/
,Randy Reavis,,-,,/
,Lorne Robinson,,-,,/
,Anthony Russell,,-,,/
,Mark Schultz,,-,,/
,Mike Vuper,,-,,/
,Dave Wopat,,-,,/
