""
IMAGE,NO.,NAME,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Trent Mayfield,WR,6-2,175,Fr.,"Sherman Oaks, Calif. / Campbell Hall"
,3,DJ Coleman,DL,5-11,235,Jr.,"Calumet City, Ill. / Urban Prep Academy"
,4,Jeff Keele,DL,6-1,245,Jr.,"Hastings, Neb. / Hastings"
,5,Tony Bergida,QB,6-2,198,Sr.,"Front Royal, Va. / Chelsea Academy"
,6,Max Hill,WR,5-9,151,So.,"Granada Hills, Calif. / Chaminade College Preparatory"
,7,Jordan Hall,DB,5-11,205,So.,"Chicago, Ill. / Whitney M. Young Magnet School"
,8,David Taylor,WR,6-4,215,So.,"Mount Vernon, Iowa / Mount Vernon"
,9,Jelani McCray,DB,6-0,160,Fr.,"Paint Lick, Ky. / Berea Community School"
,10,Vinny Pavoni,DB,5-11,195,Jr.,"Curitiba, Brazil / Rabun Gap-Nacoochee School"
,11,Hassan Thompson,LB,6-3,235,Jr.,"New Orleans, La. / SCI Academy"
,12,Sebastian Rivera,RB,5-8,160,Sr.,"Chicago, Ill. / Von Steuben Metro Science Center"
,15,Marco Kamimura,DB,5-9,145,Fr.,"Dexter, Mich. / Detroit Catholic Central"
,17,Carson Dunn,RB,6-2,210,Sr.,"Henniker, N.H. / John Stark Regional"
,18,Connor Headrick,QB,5-11,178,Fr.,"Frisco, Texas / Centennial"
,22,James Msekela,DB,5-10,190,So.,"Mwanza, Tanzania / Marymount International School"
,24,Reed Winter,DB,5-10,165,Fr.,"Hanover, N.H. / Hanover"
,25,Brad Knowlton,LB,5-10,195,So.,"Kailua, Hawaii / Punahou School"
,26,Ben Lim,DB,5-10,170,Jr.,"Bayside, N.Y. / Saint Francis Preparatory"
,33,Luke Howard,LB,5-11,225,Jr.,"Moundsville, W.V. / John Marshall"
,34,Alex Ross,DL,5-9,242,Fr.,"Falls Church, Va. / George Mason"
,35,Alec Maloney,TE,6-2,225,Fr.,"Arlington, Va. / Saint Andrews School"
,45,Rick Johnson,LB,5-11,207,So.,"Davenport, Iowa / Central"
,52,Nat Jordan,OL,5-11,230,Fr.,"Cape Elizabeth, Maine / Cape Elizabeth"
,54,Ryan Slager,LB,6-1,232,Jr.,"Orland Park, Ill. / Amos Alonzo Stagg"
,55,Elijah Griffin,DL,6-3,330,Fr.,"Sierra Madre, Calif. / La Salle"
,56,Elijah Smythurst,OL,6-0,230,Sr.,"Jacksonville, Fla. / Stanton College Prep"
,58,Robbie McCarty,OL,6-1,250,Sr.,"Hudson, Fla. / Hudson"
,59,Clinton Sabah,OL,6-2,235,Fr.,"Chicago, Ill. / Lincoln Park"
,60,Kevin Gubner,OL,6-0,230,So.,"Pleasanton, Calif. / Foothill"
,65,Cole Riley,OL,6-1,250,Jr.,"Chicago, Ill. / Whitney M. Young Magnet School"
,67,Nick Pero,OL,5-9,245,Fr.,"Las Vegas, Nev. / Bishop Gorman"
,70,Tom Henehan,DL,5-11,301,Fr.,"La Grande Park, Ill. / Nazareth Academy"
,72,Rohan Gandotra,OL,6-4,265,So.,"New Delhi, India / Modern School"
,75,Zisimos Doulaveris,DL,5-10,245,So.,"Waterloo, Iowa / Columbus"
,79,Packard Otto,OL,6-3,295,Fr.,"Normal, Ill. / University"
,82,Dan Jaques,WR,6-1,160,Fr.,"Orange, Conn. / Hopkins School"
,84,Pratik Karki,WR,6-1,185,So.,"Kathmandu, Nepal / Rato Bangala School"
,87,Anaan Ramay,K,5-10,190,So.,"Lahore, Punjab, Pakistan / Aitchison College"
,Mgr,Jason Jennings,,-,,Fr.,/
,Mgr,Bruce Kriegel,,-,,,/
,Mgr,Alitza Shutt,,-,,,/
,Mgr,Ashley Wehrenberg,,-,,,/
