""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Mike Anderson,,-,,/
,Rob Boardman,,-,,/
,Eric Burch,,-,,/
,Robert Burns,,-,,/
,Rob Click,,-,,/
,Bill Dabney,,-,,/
,Dwain Desbien,,-,,/
,Mike Galaty,,-,,/
,Chris Geisert,,-,,/
,Scott Goings,,-,,/
,Russ Grimm,,-,,/
,Mike Grossman,,-,,/
,Fred Hopkins,,-,,/
,Marty Hunsucker,,-,,/
,Gary Johanson,,-,,/
,Corey Jones,,-,,/
,Dave Jones,,-,,/
,Paul Lechensky,,-,,/
,John Lopos,,-,,/
,Mick MacLean,,-,,/
,P. Manternach,,-,,/
,Mike Mohan,,-,,/
,Tom Monague,,-,,/
,Chris Nelson,,-,,/
,Jim Sadler,,-,,/
,Paul Schneider,,-,,/
,Jeff Skelton,,-,,/
,Wallace Squib,,-,,/
,Scott Truesdell,,-,,/
,Henry Vogelman,,-,,/
,Jim Weiand,,-,,/
,Scott Whipple,,-,,/
,Craig Whitaker,,-,,/
,David White,,-,,/
,Rich Wilson,,-,,/
