""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Bud Baumgartner,,-,,/
,Charles Blake,,-,,/
,D. Chandler,,-,,/
,Kevin Conor,,-,,/
,F. Gilmore-Metz,,-,,/
,Gabe Goodin,,-,,/
,A. Harrison,,-,,/
,Mike Herbin,,-,,/
,N. Hirschey,,-,,/
,Greg Huebner,,-,,/
,N. Jacobson,,-,,/
,Sam Jones,,-,,/
,Ben Kuo,,-,,/
,Zachary Lipovac,,-,,/
,Mike Maloney,,-,,/
,Leo Martin,,-,,/
,Maury Noonan,,-,,/
,Dan Olson,,-,,/
,Josh Pedersen,,-,,/
,Jake Peterson,,-,,/
,Sean Pfalzer,,-,,/
,Delwin Pinkins,,-,,/
,Mark Pituch,,-,,/
,Andrew Pyle,,-,,/
,Marcus Ramirez,,-,,/
,Trey Raney,,-,,/
,Chad Rapp,,-,,/
,Scot Schmidt,,-,,/
,Ted Stafford,,-,,/
,Shane Steele,,-,,/
,Brian Stoffel,,-,,/
,Daniel Suh,,-,,/
,Matt Teeters,,-,,/
,Matt Vigil,,-,,/
,Chris Villa,,-,,/
,Adam Wallace,,-,,/
,Matt Whalen,,-,,/
,N. Wineinger,,-,,/
,Isom Winston,,-,,/
,Brandon Womack,,-,,/
,Alex Woodle,,-,,/
,Walon Woods,,-,,/
