""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Jonathan Antrim,,-,Fr.,/
,L. Ballesteros,,-,Fr.,/
,Bud Baumgartner,,-,,/
,L. Burkholder,,-,So.,/
,Ramiro Carrillo,,-,Fr.,/
,Todd Doleshal,,-,So.,/
,Pat Faurer,,-,Fr.,/
,F. Gilmore-Metz,,-,,/
,Daniel Hardin,,-,So.,/
,Mike Hargadine,,-,Fr.,/
,Aaron Hirtzel,,-,Fr.,/
,Kennon Landis,,-,Fr.,/
,Nathan Lindsey,,-,So.,/
,Brett Maloney,,-,Fr.,/
,Mike Maloney,,-,,/
,Leo Martin,,-,,/
,Tyler Martin,,-,Fr.,/
,Brock Martinez,,-,Fr.,/
,Nick Merklin,,-,So.,/
,C.J. Moore,,-,Fr.,/
,Cole Mossman,,-,Fr.,/
,Emmanuel Munoz,,-,Fr.,/
,Maury Noonan,,-,,/
,Nino Parker,,-,So.,/
,Kyle Perry,,-,,/
,Sean Pfalzer,,-,,/
,Earl Pike,,-,Fr.,/
,Mark Pituch,,-,,/
,Marcus Plouzek,,-,Fr.,/
,Chad Rapp,,-,,/
,Ben Remington,,-,So.,/
,Tyler Schaeffer,,-,Fr.,/
,Jake Schneider,,-,Fr.,/
,Will Schwaller,,-,Fr.,/
,Brad Steinmetz,,-,Fr.,/
,D.L. Stevens,,-,So.,/
,Archie Tyson,,-,Fr.,/
,Matt Vigil,,-,,/
,Ben Westfeldt,,-,So.,/
,Matt Whalen,,-,,/
,Alex Woodle,,-,,/
