""
IMAGE,NO.,NAME,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Henry Baird,QB,6-1,218,So.,"Apex, N.C. / Garner"
,2,Grayson Woodhouse,QB,5-11,185,Jr.,"Big Flats, N.Y. / Horseheads"
,3,Tim Johnson,LB,5-10,200,Jr.,"Davenport, Iowa / Central"
,4,Luke Stefan,WR,5-11,170,So.,"El Paso, Texas / Pebble Hills"
,5,Davis Cooper,LB,6-1,210,Fr.,"Pasadena, Calif. / Notre Dame"
,6,David Quintana,DB,5-9,170,So.,"Chicago, Ill. / Nazareth Academy"
,7,Ricky Morri,WR/K,5-8,155,Sr.,"Silver Spring, Md. / Montgomery Blair"
,8,Josh Jones,LB,6-0,205,So.,"Richland, Miss. / Park Place Christian Academy"
,9,Scott Nissen,DL,6-1,190,Sr.,"Flower Mound, Texas / Flower Mound"
,9,Garrett Wilson,WR,6-0,185,So.,"Anniston, Ala. / White Plains"
,10,Leo Choi,RB/WR,5-10,195,Sr.,"Clifton, Va. / Centerville"
,11,Clayton Burton,LB,6-3,225,Sr.,"Lake Forest, Ill. / Lake Forest"
,12,Avery Hootstein,WR,6-0,199,Sr.,"New York, N.Y. / Polytech Prep Country Day School"
,13,Connor Smith,DB,6-2,190,So.,"Rochester, N.Y. / Greece Athena"
,14,Jio Hong,DB,5-11,180,So.,"Seal Beach, Calif. / Los Alamitos"
,15,Kevin Johanson,DB,5-7,170,Fr.,"Glendale, Ariz. / Greenway"
,16,Seth Semmen,DB,6-1,200,Fr.,"Lanesboro, Minn. / Lanesboro"
,17,Brandon Tennicott,DB,6-0,160,Fr.,"Brookfield, Ill. / Riverside-Brookfield"
,18,Ilya Sniff,DB,5-11,182,So.,"Crystal Lake, Ill. / Christian Heritage School"
,19,Nick Rhinehart,WR/K,5-8,155,So.,"Bonham, Texas / Bonham"
,20,Keaton Fitzgerald,DB,6-1,195,Fr.,"North Hollywood, Calif. / Notre Dame"
,21,Henry Dworkin,DL,5-10,185,Jr.,"Wilmington, N.C. / Woodberry Forest"
,22,Hugh Werner,DB,5-11,180,So.,"Wheaton, Ill. / Wheaton North"
,23,Max Ehrlich,TE,5-10,205,Sr.,"Tarzana, Calif. / Harvard-Westlake School"
,24,Danny Quirk,RB,5-11,200,So.,"Lombard, Ill. / Glenbard East"
,28,Ty Jones,DL,6-0,200,Fr.,"Stamford, Conn. / Rye Country Day School-Upper School"
,29,Lukas Roscoe,WR,6-1,180,Sr.,"El Segunda, Calif. / El Segundo"
,30,Breck Bishop,LB,6-1,210,Fr.,"Ferndale, Calif. / Fortuna Union"
,31,Charlie Henehan,DB,6-2,190,Jr.,"La Grande Park, Ill. / Lyons Township North"
,32,Will Reyes,RB,5-9,180,So.,"Elk Grove, Calif. / Monterey Trail"
,33,Evan Stoller,TE,6-1,185,Fr.,"Greensboro, N.C. / Bishop McGuinness"
,34,Bert Greene,LB,5-9,210,Fr.,"Wellesley Hills, Mass. / Belmont Hill School"
,35,Garret Bean,TE,6-3,205,Jr.,"Natick, Mass. / Natick"
,40,Hero Uchino,DL,5-10,240,Jr.,"Yoshimi, Japan / Saint Louis School"
,41,Greyson Blanchard,LB,5-8,185,Fr.,"McKinney, Texas / Celina"
,42,Luke Walters,LB,5-9,195,Fr.,"Chicago, Ill. / DePaul College Prep"
,44,Adam Khater,LB,5-10,175,Sr.,"Lake Forest, Ill. / Lake Forest"
,45,Paata Kaloiani,RB,5-9,190,So.,"Tbilisi, Georgia / European School"
,50,Landon Skinner,OL,6-2,280,Jr.,"Mesa, Ariz. / Occidental College"
,54,Nick Self,OL,6-6,260,Fr.,"Wellington, Texas / Wellington"
,55,TJ Lawrence,DL,5-10,205,So.,"Saint Peters, Mo. / Lutheran High School of St. Charles County"
,56,Finn O'Malley,LB,6-0,200,Fr.,"Bellingham, Wash. / Bellingham"
,58,Rene Urias Jr.,LB,5-8,240,So.,"Rio Rico, Ariz. / Nogales"
,59,Cristian Prasad,OL,6-2,230,Fr.,"Jefferson City, Mo. / Helias Interparish"
,62,Sean Haggerty,OL,5-10,230,Jr.,"Los Angeles, Calif. / Occidental College"
,65,Miles Cornforth,OL,6-1,240,So.,"San Jose, Calif. / Willow Glen Educational Park North Campus"
,69,Tyrell Taylor,OL,6-4,330,Jr.,"Des Moines, Iowa / Roosevelt"
,71,Matthew Ford,OL,6-1,230,So.,"Roswell, Ga. / Roswell"
,75,Ben Rieber,OL,6-6,310,Jr.,"Valhalla, N.Y. / Valhalla"
,76,Joshua Clark,OL,6-2,230,Fr.,"St. Louis, Mo. / John Burroughs School"
,77,Connor Carson,OL,6-4,348,Sr.,"Clermont, Fla. / Foundation Academy"
,86,Ben Cerrato,WR,5-9,190,So.,"Exeter, N.H. / Exeter Area"
,92,Luke Porter,DL,6-5,230,Sr.,"Seattle, Wash. / Lakeside School"
,98,Travis Chu,DL,6-2,260,So.,"Brooklyn, N.Y. / Polytech Prep Country Day School"
,99,Andrew Kozhaya,DL,5-8,265,So.,"Downey, Calif. / Loyola"
