""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Brent Allison,,-,,/
,Washing. Alston,,-,,/
,Don Bognanno,,-,,/
,Bill Bowers,,-,,/
,Wally Bowers,,-,,/
,Jim Briles,,-,,/
,Al Cardwell,,-,,/
,Jim Casey,,-,,/
,Brian Cook,,-,,/
,Jeff Dick,,-,,/
,Bob Donelan,,-,,/
,Scott Fackrell,,-,,/
,Jim Fallace,,-,,/
,Tom Goetz,,-,,/
,Jon Gray,,-,,/
,Chip Hall,,-,,/
,Barry Huff,,-,,/
,Jamie Jacks,,-,,/
,Tom Kalhorn,,-,,/
,Mike Levy,,-,,/
,Mike Rosenfeld,,-,,/
,David Schafer,,-,,/
,Monty Thomson,,-,R-Fr.,/
