""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Washing. Alston,,-,,/
,Don Bognanno,,-,,/
,Bill Chown,,-,,/
,Henry Corona,,-,,/
,Jeff Dick,,-,,/
,Bill Dicks,,-,,/
,Jim Friend,,-,,/
,Marty Gilliehan,,-,,/
,Dave Gitlin,,-,,/
,Jon Gray,,-,,/
,Ed Hirsch,,-,,/
,Barry Huff,,-,,/
,Steve Hutchings,,-,,/
,Gary Johnson,,-,,/
,Gary Jones,,-,,/
,Mike Levy,,-,,/
,Roy Lewis,,-,,/
,Jim Pirolli,,-,,/
,John Robinson,,-,,/
,Nick Russo,,-,,/
,Randy Sarver,,-,,/
,Scott Stuart,,-,,/
,Nate Thompson,,-,,/
