""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Dave Allen,,-,,/
,Fred Arnold,,-,,/
,Steve Bauserman,,-,,/
,Jim Burkett,,-,,/
,Tom Castles,,-,,/
,Bob Clem,,-,,/
,John Copeland,,-,,/
,Larry Dukes,,-,,/
,Howard Dunn,,-,,/
,Darrell Fisher,,-,,/
,John Hartung,,-,,/
,Marty Jacobson,,-,,/
,Gene Kowert,,-,,/
,Jerry Kurth,,-,,/
,Gordon Loucks,,-,,/
,Lee Moses,,-,,/
,Gary Pattschull,,-,,/
,Sam Petroff,,-,,/
,Ron Sandler,,-,,/
,Jack Shaffer,,-,,/
,Jim Simmons,,-,,/
,George Susens,,-,,/
,Dick Thomas,,-,,/
,Scotty Walker,,-,,/
,Bob Woito,,-,,/
