""
IMAGE,NO.,NAME,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Matt Siff,QB,6-1,180,So.,"Takoma Park, Md. / Montgomery Blair"
,2,Loyal Terry,RB,5-8,191,Fr.,"Valley Village, Calif. / Harvard-Westlake School"
,3,Sal Kargbo,DB,5-8,170,So.,"Davenport, Iowa / Central"
,4,Mushadda Morocco,LB,6-4,188,Fr.,"Edwardsville, Ill. / Edwardsville"
,6,Max Hill,WR,5-9,160,Sr.,"Granada Hills, Calif. / Chaminade College Preparatory"
,7,Connor Headrick,QB,5-11,199,Jr.,"Frisco, Texas / Centennial"
,8,David Taylor,WR,6-4,220,Sr.,"Mount Vernon, Iowa / Mount Vernon"
,9,Jelani McCray,DB,6-0,165,Jr.,"Paint Lick, Ky. / Berea Community School"
,10,Avery Hootstein,QB,6-0,199,Fr.,"New York, N.Y. / Polytech Prep Country Day School"
,11,Clayton Burton,WR,6-1,189,Fr.,"Lake Forest, Ill. / Lake Forest"
,13,Bryce Tanikawa,DB,5-10,170,Fr.,"Irvine, Calif. / Irvine"
,14,Ricky Morri,K/P,5-8,155,Fr.,"Silver Spring, Md. / Montgomery Blair"
,15,Marco Kamimura,DB,5-9,145,Jr.,"Dexter, Mich. / Detroit Catholic Central"
,16,Chaz Del Mar,DB,6-3,205,So.,"Harvest, Ala. / Sparkman"
,17,Lucas Bukowski,DB,5-10,179,Fr.,"Green Bay, Wis. / Northeastern Wisconsin Lutheran"
,21,Will Borda,WR,6-2,195,So.,"Wilmington, Del. / Tower Hill School"
,22,Kevin Gubner,TE,6-1,211,Sr.,"Pleasanton, Calif. / Foothill"
,23,Max Ehrlich,TE,5-10,172,Fr.,"Tarzana, Calif. / Harvard-Westlake School"
,24,Patrick Goldammer,K/P,6-2,238,So.,"Waterford, Wis. / Waterford Union"
,25,Dustin Saia,WR,5-9,174,So.,"Sioux City, Iowa / West"
,33,Danny Carter,RB,6-1,201,So.,"New Berlin, Wis. / Marquette"
,34,Anthony Johnson,LB,6-2,196,So.,"Davenport, Iowa / Central"
,45,Rick Johnson,LB,5-11,205,Sr.,"Davenport, Iowa / Central"
,50,Karman Bhinder,OL,6-4,298,So.,"Chandigarh, India / Army Public School Dhaula Kuan"
,51,Scott Nissen,DL,6-1,190,Fr.,"Flower Mound, Texas / Flower Mound"
,52,Nat Jordan,OL,5-10,234,Jr.,"Cape Elizabeth, Maine / Cape Elizabeth"
,55,Luke Howard,LB,5-11,229,Sr.,"Moundsville, W.V. / John Marshall"
,57,Luke Porter,DL,6-5,212,Fr.,"Seattle, Wash. / Lakeside School"
,62,Gavin Wagner,LB,5-11,238,Fr.,"Brookston, Minn. / Albrook"
,65,Paul Hill,DL,6-4,212,Fr.,"New York, N.Y. / Asheville School"
,66,Tom Henehan,DL,5-11,270,Jr.,"La Grande Park, Ill. / Nazareth Academy"
,67,Nick Pero,OL,5-9,240,Jr.,"Las Vegas, Nev. / Bishop Gorman"
,74,Prescott Miller,OL,6-4,308,So.,"Hinsdale, Ill. / Hinsdale Township Central"
,75,Zisimos Doulaveris,DL,5-10,252,Sr.,"Waterloo, Iowa / Columbus"
,76,Will Edelson,OL,6-8,275,Fr.,"Charlottesville, Va. / Saint Anne's-Belfield"
,77,Connor Carson,OL,6-4,330,So.,"Clermont, Fla. / Foundation Academy"
,78,Dean Khazanov,OL,6-5,424,So.,"Sherman Oaks, Calif. / Daniel Pearl Magnet School"
,79,Packard Otto,OL,6-4,271,Jr.,"Normal, Ill. / University"
,Mgr,Jack Bickel,,-,,,/
,Mgr,Adam Khater,,-,,,"Lake Forest, Ill. / Lake Forest"
,Mgr,Bruce Kriegel,,-,,,/
,Mgr,Maly Marsters,,-,,,/
,Mgr,Nora Paul,,-,,,/
,Mgr,Madison Wardlaw,,-,,,/
