""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Russ Adams,,-,,/
,Troy Barboza,,-,,/
,Har. Bullerdiek,,-,,/
,Mike Cetina,,-,,/
,John Egan,,-,,/
,Tom Faciszewski,,-,,/
,Travis Fisher,,-,,/
,Andy Hamilton,,-,,/
,Tom Hanseter,,-,,/
,Erik Hanson,,-,,/
,Bob Heffernan,,-,,/
,Paul Knight,,-,,/
,Mark Kohlmann,,-,,/
,Mike McCrary,,-,,/
,David McDonald,,-,,/
,Greg Moore,,-,,/
,Pat O'Reilly,,-,,/
,Steve Parks,,-,,/
,Scott Preston,,-,,/
,Mike Randolph,,-,,/
,Craig Rasile,,-,,/
,Gene Reid,,-,,/
,Jon Scharff,,-,,/
,Jeff Schmidt,,-,,/
,Dave Smiley,,-,,/
,Scott Suter,,-,,/
,Carmen Trotta,,-,,/
,Joe Walsh,,-,,/
,Bill Wear,,-,,/
