""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Wally Bowers,,-,,/
,Jim Briles,,-,,/
,Al Cardwell,,-,,/
,Jim Casey,,-,,/
,Doug Cummings,,-,,/
,Mike Darragh,,-,,/
,Calev Davies,,-,,/
,Paul Delaney,,-,,/
,Bob Donelan,,-,,/
,Hosea Engram,,-,,/
,Jim Fallace,,-,,/
,Peter Friend,,-,,/
,Tom Goetz,,-,,/
,Bob Grant,,-,,/
,John Hamby,,-,,/
,Mike Harris,,-,,/
,Jamie Jacks,,-,,/
,Brian Martin,,-,,/
,Mike Nadalsky,,-,,/
,Walter Pearcey,,-,,/
,Lorne Robinson,,-,,/
,David Schafer,,-,,/
,Mark Schultz,,-,,/
,John Straley,,-,,/
,Mike Vuper,,-,,/
,Dave Wopat,,-,,/
