""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Will Atlas,,-,Fr.,/
,Cliff Baird,,-,Fr.,/
,Bud Baumgartner,,-,,/
,Charles Blake,,-,,/
,Adam Brumer,,-,Fr.,/
,L. Burkholder,,-,Fr.,/
,Todd Doleshal,,-,Fr.,/
,F. Gilmore-Metz,,-,,/
,Gabe Goodin,,-,,/
,Daniel Hardin,,-,Fr.,/
,A. Harrison,,-,,/
,N. Hirschey,,-,,/
,Greg Huebner,,-,,/
,Daniel Jeffrey,,-,Fr.,/
,Sam Jones,,-,,/
,Ben Kuo,,-,,/
,Nathan Lindsey,,-,Fr.,/
,Nathan Lindsey,,-,Fr.,/
,Mike Maloney,,-,,/
,Leo Martin,,-,,/
,Nick Merklin,,-,Fr.,/
,Maury Noonan,,-,,/
,Michael Nunez,,-,Fr.,/
,Richard Palmer,,-,Fr.,/
,Nino Parker,,-,Fr.,/
,Kyle Perry,,-,,/
,Sean Pfalzer,,-,,/
,Delwin Pinkins,,-,,/
,Mark Pituch,,-,,/
,David Ramirez,,-,Fr.,/
,Marcus Ramirez,,-,,/
,Trey Raney,,-,,/
,Chad Rapp,,-,,/
,Ben Remington,,-,Fr.,/
,Ted Stafford,,-,,/
,D.L. Stevens,,-,Fr.,/
,Daniel Suh,,-,,/
,Matt Teeters,,-,,/
,Matt Vigil,,-,,/
,Chris Villa,,-,,/
,Ben Westfeldt,,-,Fr.,/
,Matt Whalen,,-,,/
,N. Wineinger,,-,,/
,Alex Woodle,,-,,/
,Walon Woods,,-,,/
