""
IMAGE,NO.,NAME,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Sam Poulos,QB,5-10,180,Sr.,"Glen Ellyn, Ill. / Nazareth"
,3,DJ Coleman,LB,5-11,201,Fr.,"Calumet City, Ill. / Urban Prep Academy"
,4,Jeff Keele,DL,6-0,219,Fr.,"Hastings, Neb. / Hastings"
,6,Jacob Bernholtz,RB,5-10,204,Jr.,"Huxley, Iowa / Ballard"
,7,Patrick Gruggen,DB,6-1,180,Fr.,"Minneapolis, Minn. / Thomas Jefferson"
,9,Edward Hardman,DB,6-0,187,Sr.,"Chicago, Ill. / Latin School"
,10,Vinny Pavoni,DB,5-11,193,Fr.,"Curitiba, Brazil / Rabun Gap-Nacoochee School"
,11,Hassan Thompson,LB,6-2,226,Fr.,"New Orleans, La. / SCI Academy"
,12,Graham Fisher,K/P,6-4,222,Sr.,"Palo Alto, Calif. / Gunn Senior High"
,13,Emmi Sandoval,WR,5-9,188,Sr.,"Bridgeport, Calif. / Coleville"
,14,Sebastian Rivera,RB,5-8,180,So.,"Chicago, Ill. / Von Steuben Metro Science Center"
,15,Greg Ruzich,WR,6-0,180,Sr.,"Frankfort, Ill. / Lincoln Way North"
,16,Kent Hoover,DB,5-11,192,Jr.,"Rogers, Minn. / Rogers"
,17,Carson Dunn,RB/TE,6-2,211,So.,"Henniker, N.H. / John Stark Regional"
,20,TR Jones,QB/DB,6-0,190,So.,"Goldthwaite, Texas / Goldthwaite"
,22,Jacob Beecher,DB,5-10,205,Sr.,"Medicine Lodge, Kan. / Medicine Lodge"
,26,Ben Lim,DB,5-10,180,Fr.,"Bayside, N.Y. / Saint Francis Preparatory"
,28,Joe Galaske,DB,5-10,184,Jr.,"Moberly, Mo. / Moberly"
,32,Jordan Morris,LB,5-9,195,Fr.,"Miami, Fla. / Miami Country Day"
,33,Luke Howard,LB,5-11,130,Fr.,"Moundsville, W.V. / John Marshall"
,34,Barrett Morrissette,LB,6-0,234,Sr.,"Chicago, Ill. / Whitney M. Young Magnet"
,35,Ibuki Ogasawara,DB,5-11,188,Jr.,"Takasaki-Shi, Japan / Chuo Secondary School"
,44,Blake Rish,RB,5-10,181,So.,"Evans, Ga. / Augusta Christian School"
,50,Grant Koch,OL,6-4,282,Jr.,"Keystone, Colo. / Summit County"
,51,Riley Drexler,DL,5-9,225,Jr.,"Delray Beach, Fla. / Pope John Paul II"
,54,Ryan Slager,LB,6-0,205,Fr.,"Orland Park, Ill. / Amos Alonzo Stagg"
,56,Elijah Smythurst,OL,6-1,255,So.,"Jacksonville, Fla. / Stanton College Prep"
,58,Robbie McCarty,OL,6-1,265,So.,"Hudson, Fla. / Hudson"
,65,Cole Riley,OL,6-1,222,Fr.,"Chicago, Ill. / Whitney M. Young Magnet School"
,66,Matt Medrano,OL,6-3,265,Jr.,"Wichita, Kan. / Independent School"
,77,Ethan Lahn,OL,6-6,288,Jr.,"Grinnell, Iowa / Grinnell"
,81,Henry Cummings,WR,6-4,198,Sr.,"Brooklyn, N.Y. / The Beacon School"
,84,Jeff Gabell,TE,6-1,190,Fr.,"Lincoln, Neb. / Pius X"
,88,Erik Henderson,WR,6-1,180,Fr.,"Chicago, Ill. / Urban Prep Academy"
,Mgr,Sage Juveland,,-,,,/
,Mgr,Bruce Kriegel,,-,,,/
,Mgr,Laika Lewis,,-,,,/
,Mgr,Jermaine Marks,,-,,,/
,Mgr,Alex Odom,,-,,Sr.,/
