""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Mark Blanchard,,-,,/
,Steve Bolesta,,-,,/
,Mark Bowman,,-,,/
,Al Camp,,-,,/
,Phil Cebuhar,,-,,/
,Fritz Craiger,,-,,/
,Paul Crane,,-,,/
,Doug Cummings,,-,,/
,Paul Delaney,,-,,/
,Hosea Engram,,-,,/
,Rob Eyre,,-,,/
,Barry Fortune,,-,,/
,Charlie Gogel,,-,,/
,Bob Grant,,-,,/
,John Hamby,,-,,/
,Mike Hopkins,,-,,/
,Brian Kelly,,-,,/
,Kurt Kohlmann,,-,,/
,Dale Lamb,,-,,/
,John Liming,,-,,/
,Paul Matecki,,-,,/
,Char. McKinnon,,-,,/
,Derek Muehrcke,,-,,/
,Kevin Oakes,,-,,/
,Harvey Pegues,,-,,/
,Don Petrich,,-,,/
,Kevin Rackstraw,,-,,/
,Randy Reavis,,-,,/
,Cornell Rudov,,-,,/
,Mike Salisch,,-,,/
,Dave Schafer,,-,,/
,Mark Schultz,,-,,/
,Dave Wopat,,-,,/
