Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Luhmann, Emma",SO-2,10:49.48,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Campbell, Paulina",SR-4,10:51.39,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Luhmann, Emma",SO-2,10:52.98,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"Campbell, Paulina",SR-4,10:57.95,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"Zimmerman, Emma",SO-2,11:06.97,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"Androski, Antonia",JR-3,11:07.82,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Luhmann, Emma",SO-2,11:16.15,2016 Hilltop Invitational,"Jan 30, 2016"
,"Zimmerman, Emma",SO-2,11:24.75,Wartburg Indoor Invite,"Feb 20, 2016"
,"Roberts, Clare",JR-3,11:48.31,2016 Hilltop Invitational,"Jan 30, 2016"
,"O'Malley, Bridget",JR-3,12:15.29,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"Baumgartel, Andrea",FR-1,12:34.71,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Baumgartel, Andrea",FR-1,12:35.46,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
