Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Mendola, Noah",FR-1,57.09,Midwest Conference Outdoor Championships,"May 12, 2023"
,"James, Xavier",SO-2,57.12,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Mendola, Noah",FR-1,57.85,2023 Kip Janvrin Open,"Apr 27, 2023"
,"James, Xavier",SO-2,58.28,Midwest Conference Outdoor Championships,"May 12, 2023"
,"James, Xavier",SO-2,58.35,2023 Kip Janvrin Open,"Apr 27, 2023"
,"James, Xavier",SO-2,58.78,Norse Invite,"Apr 15, 2023"
,"Mendola, Noah",FR-1,58.79,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Mendola, Noah",FR-1,59.42,Norse Invite,"Apr 15, 2023"
,"James, Xavier",SO-2,59.68,Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"James, Xavier",SO-2,59.84,Rittgers Invitational,"Apr 7, 2023"
,"Mendola, Noah",FR-1,59.91,Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Mendola, Noah",FR-1,1:00.17,Dick Young Classic,"Apr 22, 2023"
,"James, Xavier",SO-2,1:00.41,Dick Young Classic,"Apr 22, 2023"
,"James, Xavier",SO-2,1:01.43,Mustang Open,"Apr 1, 2023"
,"Boev, Ryan",SO-2,1:02.93,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Boev, Ryan",SO-2,1:03.00,Norse Invite,"Apr 15, 2023"
,"Boev, Ryan",SO-2,1:03.91,Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Boev, Ryan",SO-2,1:09.94,Rittgers Invitational,"Apr 7, 2023"
