Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Cottrell, Allison",FR-1,5:27.17,Midwest Conference Indoor Championships,"Feb 23, 2018"
,"Cottrell, Allison",SO-2,5:36.23,2018 Grinnell Indoor Invitational,"Feb 3, 2018"
,"Okamato, Nana",SO-2,6:11.16,Midwest Conference Indoor Championships,"Feb 23, 2018"
,"Miller, Lauren",FR-1,6:20.30,Midwest Conference Indoor Championships,"Feb 23, 2018"
,"Okamato, Nana",SO-2,6:28.97,2018 Darren Young Indoor Classic,"Feb 10, 2018"
,"Okamato, Nana",SO-2,6:29.64,2018 Grinnell Indoor Invitational,"Feb 3, 2018"
,"Miller, Lauren",SO-2,6:29.71,2018 Grinnell Indoor Invitational,"Feb 3, 2018"
,"Miller, Lauren",SO-2,6:30.23,2018 Darren Young Indoor Classic,"Feb 10, 2018"
,"Howe, Madison",FR-1,6:36.80,Wartburg Indoor Invitational,"Feb 17, 2018"
,"Okamato, Nana",SO-2,6:39.06,2018 Hilltop Invitational,"Jan 27, 2018"
,"Miller, Lauren",SO-2,6:39.15,2018 Hilltop Invitational,"Jan 27, 2018"
,"Howe, Madison",SO-2,6:45.88,2018 Darren Young Indoor Classic,"Feb 10, 2018"
