Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"McLean, Anthony",SO-2,9:51.32,2015 Jim Duncan Invitational,"Apr 10, 2015"
,"McLean, Anthony",SO-2,9:59.95,2015 Kip Janvrin Open,"Apr 23, 2015"
,"McLean, Anthony",SO-2,10:07.59,MWC Conference Championships,"May 8, 2015"
,"Bass, Stewart",FR-1,10:27.91,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Bass, Stewart",FR-1,10:31.37,MWC Conference Championships,"May 8, 2015"
,"Bass, Stewart",FR-1,10:46.05,2015 Jim Duncan Invitational,"Apr 10, 2015"
,"Healey, Aidan",SO-2,11:03.06,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Healey, Aidan",SO-2,11:03.78,MWC Conference Championships,"May 8, 2015"
,"Healey, Aidan",SO-2,11:20.92,2015 Jim Duncan Invitational,"Apr 10, 2015"
,"Gleason, Keanan",SO-2,11:39.09,Monmouth fighting Scots Outdoor-,"May 2, 2015"
,"Gleason, Keanan",SO-2,11:59.25,2015 Jim Duncan Invitational,"Apr 10, 2015"
