Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kolacia, Nate",SO-2,15:32.90,2015 Kip Janvrin Open,"Apr 23, 2015"
,"McLean, Anthony",SO-2,15:42.71,Emory Classic,"Mar 27, 2015"
,"Kolacia, Nate",SO-2,15:50.56,MWC Conference Championships,"May 8, 2015"
,"Bass, Stewart",FR-1,16:25.50,2015 Cornell Outdoor Invite,"Apr 4, 2015"
,"Monovich, Alexander",SO-2,16:33.19,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Gregorich-Trevor, Connor",SO-2,16:43.71,2015 Jim Duncan Invitational,"Apr 10, 2015"
,"Monovich, Alexander",SO-2,16:45.50,MWC Conference Championships,"May 8, 2015"
,"Anderson, Doug",SR-4,16:56.10,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Gregorich-Trevor, Connor",SO-2,16:59.97,2015 Cornell Outdoor Invite,"Apr 4, 2015"
,"Grant, Reilly",SO-2,17:03.21,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Monovich, Alexander",SO-2,17:06.12,2015 Cornell Outdoor Invite,"Apr 4, 2015"
,"Grant, Reilly",SO-2,17:13.28,Monmouth fighting Scots Outdoor-,"May 2, 2015"
,"Anderson, Doug",SR-4,17:14.16,MWC Conference Championships,"May 8, 2015"
,"Mulligan, Connor",SO-2,17:33.01,2015 Cornell Outdoor Invite,"Apr 4, 2015"
,"Healey, Aidan",SO-2,17:35.48,2015 Cornell Outdoor Invite,"Apr 4, 2015"
,"Anderson, Doug",SR-4,17:37.15,2015 Cornell Outdoor Invite,"Apr 4, 2015"
,"Mulligan, Connor",SO-2,17:42.62,Emory Classic,"Mar 27, 2015"
,"Mulligan, Connor",SO-2,17:42.62,Emory Classic,"Mar 27, 2015"
,"Mulligan, Connor",SO-2,17:48.14,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Gleason, Keanan",SO-2,17:50.41,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Grant, Reilly",SO-2,18:10.54,2015 Cornell Outdoor Invite,"Apr 4, 2015"
