Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Ajinjeru, Christine",SR-4,57.49,NCAA Division III Indoor Track & Field Championships,"Mar 14, 2014"
,"Ajinjeru, Christine",SR-4,57.73,Wartburg Invite,"Feb 22, 2014"
,"Ajinjeru, Christine",SR-4,57.80,Point National Qualifier,"Mar 8, 2014"
,"Ajinjeru, Christine",SR-4,58.74,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Ajinjeru, Christine",SR-4,59.46,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Fritts, Rachel",SR-4,1:03.15,Wartburg Invite,"Feb 22, 2014"
,"Fritts, Rachel",SR-4,1:04.96,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Bresette-Buccino, Nora",SO-2,1:07.65,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Bresette-Buccino, Nora",SO-2,1:10.43,Wartburg Invite,"Feb 22, 2014"
,"Schmiechen, Alex",FR-1,1:13.00,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Schmiechen, Alex",FR-1,1:13.79,Darren Young Indoor Classic,"Feb 15, 2014"
