Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miyamoto, Keely",SO-2,10:14.71 #,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Karow, Morgan",SO-2,10:21.63 #,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Roark, Hannah",SO-2,10:50.36 #,Darren Young Classic,"Feb 10, 2024"
,"Harrison, Talia",FR-1,10:55.54 #,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Roth, Hannah",FR-1,11:12.11 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Barba, Diana",SO-2,11:14.61 #,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Wharton-Hsieh, Emma",FR-1,11:37.52 #,Hilltop Invitational,"Jan 20, 2024"
,"Diamond-Berman, Mira",JR-3,11:49.75 #,Hilltop Invitational,"Jan 20, 2024"
,"Ford, Sophia",JR-3,11:54.53 #,Grinnell Invitational,"Jan 27, 2024"
,"Pollack, Jianna",FR-1,12:19.96 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Lackey, Katya",FR-1,12:21.43 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Rainey, Quinby",FR-1,12:26.44 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Divadeenam, Rowan",FR-1,12:57.51 #,Grinnell Invitational,"Jan 27, 2024"
