Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Nickeson, Andrew",JR-3,4:23.21,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Harvey, Ben",SR-4,4:27.23,Liz Wuertz Invite,"Feb 19, 2022"
,"O'Reilly, Declan",SR-4,4:32.95,Luther College Invitational,"Feb 5, 2022"
,"Brotman, Eli",FR-1,4:38.41,Liz Wuertz Invite,"Feb 19, 2022"
,"Ramsey, Bradley",SO-2,4:47.29,Liz Wuertz Invite,"Feb 19, 2022"
,"Goodell, Brian",SO-2,4:48.12,Liz Wuertz Invite,"Feb 19, 2022"
,"Williams, Carter",FR-1,4:49.88,Liz Wuertz Invite,"Feb 19, 2022"
,"Snyder, Daniel",SR-4,4:52.09,Luther College Invitational,"Feb 5, 2022"
,"Cantor, Micah",SO-2,4:54.98,Darren Young Invitational,"Feb 12, 2022"
,"Boev, Ryan",FR-1,4:55.45,Darren Young Invitational,"Feb 12, 2022"
,"Krysan, Mark",FR-1,4:58.58,Luther College Invitational,"Feb 5, 2022"
,"Harrison, Kody",SR-4,5:02.54,Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Short, Ben",SO-2,5:04.74,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Rowekamp, Sam",SR-4,5:20.76,Darren Young Invitational,"Feb 12, 2022"
