Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Logue, Jake",FR-1,7.09,Dutch Athletic Classic,"Jan 17, 2025"
,"Fitzgerald, Keaton",JR-3,7.22,Grinnell Opener Invite,"Dec 6, 2024"
,"Miller, Jesse",FR-1,7.22,Grinnell Opener Invite,"Dec 6, 2024"
,"Warren, Jake",FR-1,7.27,Dutch Athletic Classic,"Jan 17, 2025"
,"O'Brien, Linus",FR-1,7.37,Grinnell Opener Invite,"Dec 6, 2024"
,"Glessner, Clay",FR-1,7.4,Grinnell Opener Invite,"Dec 6, 2024"
,"Fornari, Luca",SR-4,7.49,Grinnell Opener Invite,"Dec 6, 2024"
,"Leonard, Ty",FR-1,7.64,Dutch Athletic Classic,"Jan 17, 2025"
,"Barnes, Khairy",SO-2,7.69,Grinnell Opener Invite,"Dec 6, 2024"
,"Leisher, Ilem",SO-2,7.74,Dutch Athletic Classic,"Jan 17, 2025"
,"Thota, Rohan",FR-1,8.19,Dutch Athletic Classic,"Jan 17, 2025"
